order_id,product,city,quantity,price
101,Laptop,Karachi,2,120000
102,Phone,Lahore,5,45000
103,Tablet,Karachi,3,35000
104,Laptop,Islamabad,1,120000
105,Phone,Karachi,4,45000
106,Tablet,Lahore,2,35000
107,Laptop,Faisalabad,1,118000
108,Phone,Multan,3,44000
109,Tablet,Islamabad,2,36000
110,Laptop,Lahore,1,121000
111,Phone,Faisalabad,4,46000
112,Tablet,Multan,5,34000
113,Laptop,Quetta,1,115000
114,Phone,Quetta,2,43000
115,Tablet,Peshawar,3,33000
116,Laptop,Peshawar,2,119000
117,Phone,Hyderabad,3,45500
118,Tablet,Hyderabad,4,34500
119,Laptop,Sialkot,1,117000
120,Phone,Sialkot,5,44800

